City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
648,Lichinga,-13.3128,35.2406,62.69,82,0,5.75,MZ,2022-05-07 20:16:05,clear sky
649,Prince Rupert,54.3161,-130.3201,48.29,70,75,8.05,CA,2022-05-07 20:15:21,broken clouds
650,Lewisporte,49.2499,-55.0482,42.55,54,96,14.41,CA,2022-05-07 20:15:21,overcast clouds
651,Cao Bang,22.6667,106.25,71.78,99,84,2.44,VN,2022-05-07 20:16:07,broken clouds
652,Lexington,37.9887,-84.4777,56.73,88,100,11.5,US,2022-05-07 20:15:21,overcast clouds
653,Tingo Maria,-9.2895,-76.0088,88.11,58,20,5.75,PE,2022-05-07 20:16:09,few clouds
654,Methoni,36.8197,21.7049,62.46,74,95,8.19,GR,2022-05-07 20:16:09,overcast clouds
655,Hermosillo,29.0667,-110.9667,98.69,10,0,17.27,MX,2022-05-07 20:13:23,clear sky
656,Talara,-4.5772,-81.2719,79.56,61,0,21.85,PE,2022-05-07 20:16:11,clear sky
657,Kargopol,61.5071,38.9456,48.61,84,26,10.98,RU,2022-05-07 20:16:11,scattered clouds
658,Hukuntsi,-24.0,21.75,62.11,38,75,8.37,BW,2022-05-07 20:16:13,broken clouds
659,Bom Jesus,-9.0744,-44.3586,93.4,19,6,8.77,BR,2022-05-07 20:16:14,clear sky
660,Hala,25.8131,68.4227,87.78,43,0,17.05,PK,2022-05-07 20:16:15,clear sky
661,Zhangye,38.9342,100.4517,58.37,30,100,4.09,CN,2022-05-07 20:16:16,light rain
662,Alice Springs,-23.7,133.8833,35.15,75,0,0.0,AU,2022-05-07 20:16:16,clear sky
663,Carquefou,47.2982,-1.4902,60.87,74,0,8.05,FR,2022-05-07 20:16:18,clear sky
664,Campobello Di Mazara,37.6358,12.7443,60.85,94,26,3.4,IT,2022-05-07 20:16:18,scattered clouds
665,San Angelo,31.4638,-100.437,106.9,7,0,16.11,US,2022-05-07 20:13:59,clear sky
666,Corrales,35.2378,-106.6067,92.39,9,0,17.0,US,2022-05-07 20:16:19,"sand,dust whirls"
667,Adre,13.4667,22.2,84.24,14,99,4.34,TD,2022-05-07 20:16:20,overcast clouds
668,Cabuyaro,4.2817,-72.794,73.15,95,100,5.48,CO,2022-05-07 20:16:20,overcast clouds
669,Nadym,65.5333,72.5167,13.73,92,16,9.06,RU,2022-05-07 20:16:21,few clouds
670,Upington,-28.4478,21.2561,57.58,51,3,10.36,ZA,2022-05-07 20:16:23,clear sky
671,Bulungu,-4.55,18.6,70.29,97,100,1.5,CD,2022-05-07 20:16:23,light rain
672,La Baule-Escoublac,47.2922,-2.364,58.66,82,0,11.5,FR,2022-05-07 20:16:24,clear sky
673,Fare,-16.7,-151.0167,81.3,75,3,6.11,PF,2022-05-07 20:16:25,clear sky
674,Darhan,49.4867,105.9228,43.84,67,2,7.83,MN,2022-05-07 20:16:26,clear sky
675,Troitsko-Pechorsk,62.7084,56.1964,43.0,89,100,6.64,RU,2022-05-07 20:16:27,overcast clouds
676,Barinas,8.6226,-70.2075,81.54,70,68,3.71,VE,2022-05-07 20:16:28,broken clouds
677,Aykhal,66.0,111.5,31.87,98,100,10.8,RU,2022-05-07 20:16:28,overcast clouds
678,Skjervoy,70.0311,20.9714,35.6,85,100,40.82,NO,2022-05-07 20:16:30,overcast clouds
679,Wanaka,-44.7,169.15,58.1,88,100,3.0,NZ,2022-05-07 20:14:28,overcast clouds
680,Champerico,14.3,-91.9167,95.54,68,100,8.77,GT,2022-05-07 20:16:31,overcast clouds
681,Bestobe,52.4994,73.0975,41.31,39,0,7.58,KZ,2022-05-07 20:16:32,clear sky
682,Santa Flavia,38.085,13.5351,62.06,85,73,5.99,IT,2022-05-07 20:16:33,broken clouds
683,Pumiao,22.75,108.4833,73.8,95,100,7.23,CN,2022-05-07 20:16:34,overcast clouds
684,Kirakira,-10.4544,161.9205,80.83,84,74,10.27,SB,2022-05-07 20:16:35,broken clouds
685,Auki,-8.7676,160.7034,78.28,89,100,4.74,SB,2022-05-07 20:16:36,overcast clouds
686,Richards Bay,-28.783,32.0377,67.8,91,15,3.58,ZA,2022-05-07 20:16:37,few clouds
687,Nagod,24.5667,80.6,88.3,20,0,5.44,IN,2022-05-07 20:16:38,clear sky
688,Matay,28.419,30.7792,76.71,19,99,8.55,EG,2022-05-07 20:16:39,overcast clouds
689,Omsukchan,62.5333,155.8,23.72,94,100,3.53,RU,2022-05-07 20:16:39,light snow
690,Manacapuru,-3.2997,-60.6206,81.37,83,100,3.53,BR,2022-05-07 20:16:40,overcast clouds
691,Jacqueville,5.2052,-4.4146,82.83,78,76,10.85,CI,2022-05-07 20:16:41,broken clouds
692,Praia Da Vitoria,38.7333,-27.0667,64.76,82,75,2.44,PT,2022-05-07 20:16:41,broken clouds
693,Eldorado,-23.7869,-54.2836,72.05,70,14,3.42,BR,2022-05-07 20:16:42,few clouds
694,Killybegs,54.6333,-8.45,56.19,74,100,5.86,IE,2022-05-07 20:16:43,overcast clouds
