City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Hermanus,-34.4187,19.2345,59.81,86,57,9.86,ZA,2022-05-02 00:21:56
68,Kaitangata,-46.2817,169.8464,60.13,68,16,5.28,NZ,2022-05-02 00:21:57
69,Colotlan,22.1,-103.2667,85.96,6,48,15.9,MX,2022-05-02 00:21:58
70,Hithadhoo,-0.6,73.0833,85.33,74,100,17.47,MV,2022-05-02 00:21:59
71,San Quintin,30.4833,-115.95,63.37,70,1,16.6,MX,2022-05-02 00:22:00
72,Kavieng,-2.5744,150.7967,85.1,70,28,9.98,PG,2022-05-02 00:22:00
73,Shido,34.3233,134.1733,64.8,36,0,10.36,JP,2022-05-02 00:22:02
74,Camocim,-2.9022,-40.8411,77.31,89,85,10.13,BR,2022-05-02 00:22:03
75,Cherskiy,68.75,161.3,28.45,85,16,11.72,RU,2022-05-02 00:22:05
76,Bambous Virieux,-20.3428,57.7575,73.22,94,20,1.14,MU,2022-05-02 00:22:06
77,Lebu,-37.6167,-73.65,52.54,90,13,14.65,CL,2022-05-02 00:22:07
78,Yellowknife,62.456,-114.3525,45.12,49,0,12.66,CA,2022-05-02 00:21:21
79,Gamba,-2.65,10.0,76.33,93,93,3.96,GA,2022-05-02 00:22:10
80,Esperance,-33.8667,121.9,58.84,63,2,7.36,AU,2022-05-02 00:22:12
81,New Norfolk,-42.7826,147.0587,64.92,49,86,7.31,AU,2022-05-02 00:22:13
82,Yulara,-25.2406,130.9889,64.24,52,100,11.5,AU,2022-05-02 00:22:14
83,Eureka,40.8021,-124.1637,69.67,73,1,7.0,US,2022-05-02 00:21:35
84,Leningradskiy,69.3833,178.4167,17.69,75,48,9.06,RU,2022-05-02 00:22:16
85,Grand-Santi,4.25,-54.3833,72.46,94,78,2.82,GF,2022-05-02 00:22:17
86,Atar,20.5169,-13.0499,83.98,12,0,10.04,MR,2022-05-02 00:22:19
87,Cidreira,-30.1811,-50.2056,64.83,72,100,7.23,BR,2022-05-02 00:23:20
88,Nador,35.174,-2.9287,62.85,39,0,1.14,MA,2022-05-02 00:23:21
89,Prince Rupert,54.3161,-130.3201,46.49,87,100,27.63,CA,2022-05-02 00:23:22
90,Iqaluit,63.7506,-68.5145,26.33,86,40,6.91,CA,2022-05-02 00:23:23
91,Aklavik,68.2191,-135.0107,39.06,84,67,14.92,CA,2022-05-02 00:23:24
92,Guarapari,-20.6667,-40.4975,77.9,86,10,8.9,BR,2022-05-02 00:23:25
93,Bengkulu,-3.8004,102.2655,76.6,86,95,4.18,ID,2022-05-02 00:23:26
94,Thompson,55.7435,-97.8558,26.76,86,100,12.66,CA,2022-05-02 00:23:27
95,Nagornskiy,58.7731,57.5451,21.78,92,17,2.57,RU,2022-05-02 00:23:28
